N°,Año,Título,Protagonistas,Director,Género,Ub
19,,EL CORAZON DEL ANGEL,ROURKE - D´NIRO,,HORROR PSICOLOGICO,12
33,2012,EL CUARTO PODER,DENNIS GANSEL,,ACCION  ESPIONAJE,12
13,2012,EL CUERPO,JOSE CORONADO,ORIOL PAULO,Misterio Suspenso,14
12,1994,EL CUERVO,BRANDON LEE,,"ACCIÓN, FICCIÓN",1
17,2012,EL DESPERTAR,,,"TERROR, SUSPENSO",2
35,,EL DETALLE,TOBEY MAGUIRE,,"COMEDIA, DRAMA",16
23,2008,EL DIA QUE LA TIERRA SE DETUVO,KEANU REEVES,,"APOCALIPTICA, SUSPENSO",
21,2011,EL DIARIO DE UN ALCOHOLICO,JHONNY DEEP,BRUCE ROBINSON,Drama,8
37,2012,EL ENIGMA DEL CUERVO,JHON CUSACK,JAMES Mc TEIGUE,"Suspenso, Drama",8
36,,EL ESCUADRON,VINCENT ELBAZ,JULIEN LECLERC,ACCION POLICIAL,16
18,,EL EXÓTICO HOTEL MARIGOLD,TOM WILKINSON,,"COMEDIA, DRAMA",9
23,2010,EL EXPERIMENTO,Forest Whitaker,,"Drama, Suspenso",7
18,,EL FIN DE LOS DIA,SCHWARZENEGER,,SUSPENSO - FICCIÓN,13
12,,EL FRAUDE,RICHARD GERE,,DRAMA SUSPENSO,9
38,,EL GANADOR,BRIAN PRESLEY,,DRAMA DEPORTES,9
4,1967,EL GRADUADO,DUSTIN HOFFMAN,MIKE NICHOLS,DRAMA,15
32,2007,EL GRAN DEBATE,DENZEL WASHINGTON,DENZEL WASHINGTON,"Accion, Aventura, Crimen",8
4,,EL GRAN GASTBY,LEONARDO DI CAPRIO,,,16
29,,EL GRAN MAESTRO,WONG KAR-WAI,,ARTES MARCIALES,16
33,2011,EL GRAN MILAGRO,DREW BARRYMORE,,"DRAMA, COMEDIA",2
36,2011,EL GRAN ROBO,PATRICK DEMPSEY,,"ACCIÓN, COMEDIA",2
28,1992,EL GUARDAESPALDAS,Kevin Costner,,"Drama, Suspenso",7
15,2011,EL GUERRERO,,,"ACCION, BOXEO",1
1,,EL GUSANO ESCARLATA,AARON STIELSTRA,,DRAMA WESTERN,9
10,2011,EL HIJO DE NADIE,Channing Tatum,,"Drama, Accion",7
24,,EL HOBBIT,,,"FANTASIA, ACCION",15
37,,EL HOMBRE ALTO,JESICA BIEL,,TRHILLER SUSPENSO,9
19,,EL HOMBRE DE HIELO,MICHAEL SHANNON,ARIEL VROMEN,"ACCION, CRIMEN",16
3,2004,EL HUNDIMIENTO,BRUNO GANZ,OLIVER HIRSCHBIEGEL,"Acción, guerra",8
31,,EL JUEGO - THE GAME,MICHAEL DOUGLAS,,SUSPENSO ACCIÓN,13
25,2009,EL JUEGO PERFECTO,CLIFTON COLLIN,,"DRAMA, DEPORTE",2
26,1995,EL JUEZ,Silvester Stallone,,"Accion, Ficcion",7
18,,EL KARATE KID,JADEN SMITH -CHANG,,"DRAMA, MARCIALES",11
3,2006,EL LABERINTO DEL FAUNO,IVANA BAQUERO,,"Suspenso, Drama, Ciencia F.",2
34,2010,EL LIBRO DE ELI,Denzel Washington,,"Drama, acción, ciencia ficción",5
24,,EL LLANERO SOLITARIO,,,,16
11,2010,EL MENSAJERO,MICKEY ROURKE,HANI ABU-ASSAD,"Accion, suspenso",8
17,2008,EL OJO,JESSICA ALBA,DAVID MOREAU,TERROR SUSPENSO,15
38,2010,EL ORIGEN,LEO DI CAPRIO,,"FICCIÓN, SUSPENSO",1
30,,EL ORIGEN DE LOS GUARDIANES,,DREAMWORKS,ANIMADA,15
